#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ADCY7	ADCY9	9606.ENSP00000501053	9606.ENSP00000294016	0	0	0.106	0.703	0.074	0.271	0.500	0.297	0.749
ADCY9	ADRB2	9606.ENSP00000294016	9606.ENSP00000305372	0	0	0	0	0.043	0	0	0.751	0.751
ADCYAP1	ADRB1	9606.ENSP00000462647	9606.ENSP00000358301	0	0	0	0	0.042	0	0.900	0.195	0.916
ADCYAP1	ADORA2A	9606.ENSP00000462647	9606.ENSP00000480012	0	0	0	0	0	0	0.900	0.161	0.912
ADCYAP1	ADCYAP1R1	9606.ENSP00000462647	9606.ENSP00000483721	0	0	0	0	0.084	0.940	0.900	0.999	0.999
ADD1	ADD2	9606.ENSP00000264758	9606.ENSP00000264436	0	0	0.079	0.920	0	0.788	0.900	0.672	0.992
ADD1	ADD3	9606.ENSP00000264758	9606.ENSP00000348381	0	0	0.071	0.938	0.248	0.753	0.900	0.095	0.981
ADD2	ADD3	9606.ENSP00000264436	9606.ENSP00000348381	0	0	0.064	0.952	0	0.635	0	0.393	0.774
ADGRA2	ADGRL1	9606.ENSP00000406367	9606.ENSP00000340688	0	0	0	0.550	0.058	0.514	0	0.405	0.704
ADGRA3	ADGRL1	9606.ENSP00000334952	9606.ENSP00000340688	0	0	0	0.552	0.043	0.514	0	0.458	0.726
ADH1A	ADH6	9606.ENSP00000209668	9606.ENSP00000378359	0	0	0.057	0.966	0.139	0	0.500	0.386	0.717
ADH1A	ADHFE1	9606.ENSP00000209668	9606.ENSP00000379865	0	0	0	0	0.078	0.460	0.325	0.390	0.767
ADH1A	ADH1C	9606.ENSP00000209668	9606.ENSP00000426083	0	0	0.048	0.985	0.777	0	0.900	0.302	0.983
ADH1A	ADH1B	9606.ENSP00000209668	9606.ENSP00000306606	0	0	0.048	0.985	0.631	0.300	0.900	0.629	0.989
ADH1B	ADH6	9606.ENSP00000306606	9606.ENSP00000378359	0	0	0.057	0.966	0.067	0	0.500	0.418	0.709
ADH1B	ADHFE1	9606.ENSP00000306606	9606.ENSP00000379865	0	0	0	0	0.065	0.460	0.325	0.288	0.725
ADH1B	ADH1C	9606.ENSP00000306606	9606.ENSP00000426083	0	0	0.047	0.986	0.478	0.621	0.900	0.378	0.986
ADH1C	ADHFE1	9606.ENSP00000426083	9606.ENSP00000379865	0	0	0	0	0.079	0.460	0.325	0.365	0.758
ADH1C	ADH7	9606.ENSP00000426083	9606.ENSP00000420269	0	0	0.054	0.973	0.136	0	0.500	0.397	0.720
ADH4	ADH6	9606.ENSP00000424630	9606.ENSP00000378359	0	0	0.061	0.958	0.284	0	0.500	0.423	0.780
ADH4	ADHFE1	9606.ENSP00000424630	9606.ENSP00000379865	0	0	0	0	0.057	0.460	0.325	0.381	0.759
ADH5	ADHFE1	9606.ENSP00000296412	9606.ENSP00000379865	0	0	0	0	0.057	0.460	0.325	0.346	0.745
ADH6	ADHFE1	9606.ENSP00000378359	9606.ENSP00000379865	0	0	0	0	0.057	0.460	0.325	0.436	0.780
ADH7	ADHFE1	9606.ENSP00000420269	9606.ENSP00000379865	0	0	0	0	0.057	0.460	0.325	0.452	0.786
ADHFE1	AGXT	9606.ENSP00000379865	9606.ENSP00000302620	0.104	0	0	0	0.042	0	0.792	0.166	0.831
ADIPOQ	AGRP	9606.ENSP00000389814	9606.ENSP00000290953	0	0	0	0	0	0	0	0.733	0.733
ADIPOQ	ADIPOR1	9606.ENSP00000389814	9606.ENSP00000341785	0	0	0	0	0	0	0.900	0.999	0.999
ADIPOQ	ADRB3	9606.ENSP00000389814	9606.ENSP00000343782	0	0	0	0	0.087	0	0	0.756	0.768
ADIPOQ	ADIPOR2	9606.ENSP00000389814	9606.ENSP00000349616	0	0	0	0	0	0	0.900	0.999	0.999
ADIPOR1	ADIPOR2	9606.ENSP00000341785	9606.ENSP00000349616	0	0	0.055	0.971	0.044	0	0.900	0.885	0.988
ADK	AHCY	9606.ENSP00000443965	9606.ENSP00000217426	0.079	0	0	0	0.130	0.115	0	0.712	0.769
ADK	ADSL	9606.ENSP00000443965	9606.ENSP00000485525	0.100	0	0	0	0.096	0.250	0.900	0.690	0.977
ADM	AGT	9606.ENSP00000436607	9606.ENSP00000355627	0	0	0	0	0.055	0	0	0.736	0.739
ADM	ADM2	9606.ENSP00000436607	9606.ENSP00000379087	0	0	0	0	0	0	0.400	0.881	0.925
ADM2	ADM5	9606.ENSP00000379087	9606.ENSP00000393631	0	0	0	0	0	0	0	0.790	0.790
ADORA1	ADORA3	9606.ENSP00000356205	9606.ENSP00000241356	0	0	0.053	0.935	0	0	0.900	0.101	0.907
ADORA1	ADORA2A	9606.ENSP00000356205	9606.ENSP00000480012	0	0	0.056	0.928	0.056	0.394	0	0.646	0.784
ADORA2A	ADORA2B	9606.ENSP00000480012	9606.ENSP00000304501	0	0	0	0.953	0	0.325	0.900	0.153	0.937
ADRA1A	ADRA1B	9606.ENSP00000369960	9606.ENSP00000306662	0	0	0.063	0.935	0.080	0.541	0.900	0.100	0.957
ADRA1A	AGT	9606.ENSP00000369960	9606.ENSP00000355627	0	0	0	0	0.042	0	0.500	0.559	0.770
ADRA1A	ADRA1D	9606.ENSP00000369960	9606.ENSP00000368766	0	0	0	0.929	0.078	0	0.900	0.093	0.909
ADRA1B	AGT	9606.ENSP00000306662	9606.ENSP00000355627	0	0	0	0	0.086	0	0.500	0.547	0.774
ADRA1B	ADRA1D	9606.ENSP00000306662	9606.ENSP00000368766	0	0	0	0.930	0.099	0.292	0.900	0.301	0.949
ADRA1D	AGT	9606.ENSP00000368766	9606.ENSP00000355627	0	0	0	0	0.080	0	0.500	0.523	0.761
ADRA1D	AGTR1	9606.ENSP00000368766	9606.ENSP00000398832	0	0	0	0.588	0.056	0.081	0.400	0.611	0.770
ADRA2A	ADRA2C	9606.ENSP00000280155	9606.ENSP00000386069	0	0	0.063	0.937	0.056	0.322	0.400	0.485	0.781
ADRA2C	AGT	9606.ENSP00000386069	9606.ENSP00000355627	0	0	0	0	0.079	0	0.500	0.497	0.748
ADRB1	ADRB2	9606.ENSP00000358301	9606.ENSP00000305372	0	0	0	0.935	0.049	0.237	0.900	0.469	0.956
ADRB1	ADRB3	9606.ENSP00000358301	9606.ENSP00000343782	0	0	0	0.929	0.051	0	0.900	0.106	0.907
ADRB2	AGT	9606.ENSP00000305372	9606.ENSP00000355627	0	0	0	0	0	0	0	0.701	0.701
ADRB2	AGTR1	9606.ENSP00000305372	9606.ENSP00000398832	0	0	0	0.602	0.042	0.068	0.400	0.791	0.873
ADRB2	ADRB3	9606.ENSP00000305372	9606.ENSP00000343782	0	0	0	0.916	0.051	0	0.900	0.426	0.940
ADSL	ADSS1	9606.ENSP00000485525	9606.ENSP00000333019	0.120	0	0	0	0.829	0.100	0.978	0.809	0.999
ADSL	ADSS2	9606.ENSP00000485525	9606.ENSP00000355493	0.120	0	0	0	0.830	0.189	0.978	0.856	0.999
ADSS1	ADSS2	9606.ENSP00000333019	9606.ENSP00000355493	0	0	0.054	0.973	0	0.470	0.900	0.111	0.949
AFDN	AFF1	9606.ENSP00000355771	9606.ENSP00000378578	0	0	0	0	0.056	0	0	0.850	0.852
AFF1	AFF4	9606.ENSP00000378578	9606.ENSP00000265343	0	0	0	0.824	0.113	0.510	0.900	0.985	0.999
AFF1	AFF3	9606.ENSP00000378578	9606.ENSP00000386834	0	0	0	0.747	0.042	0	0.540	0.518	0.769
AFF3	AFF4	9606.ENSP00000386834	9606.ENSP00000265343	0	0	0	0.815	0.044	0	0.540	0.656	0.835
AFP	AHSG	9606.ENSP00000379138	9606.ENSP00000273784	0	0	0	0	0.863	0.077	0	0.419	0.920
AGK	AGPAT5	9606.ENSP00000497280	9606.ENSP00000285518	0.046	0	0	0	0.106	0	0.900	0.081	0.911
AGK	AGPAT3	9606.ENSP00000497280	9606.ENSP00000291572	0.046	0	0	0	0.083	0	0.900	0.158	0.916
AGK	AGPAT4	9606.ENSP00000497280	9606.ENSP00000314036	0.046	0	0	0	0.068	0	0.900	0.100	0.909
AGK	AGPAT2	9606.ENSP00000497280	9606.ENSP00000360761	0.046	0	0	0	0	0	0.900	0.211	0.918
AGK	AGPAT1	9606.ENSP00000497280	9606.ENSP00000378877	0.046	0	0	0	0	0	0.900	0.093	0.905
AGO1	AGO2	9606.ENSP00000362300	9606.ENSP00000220592	0	0	0.049	0.982	0.092	0.891	0.900	0.982	0.999
AGO1	AGO3	9606.ENSP00000362300	9606.ENSP00000362287	0	0	0.049	0.983	0.072	0.720	0.720	0.858	0.988
AGO1	AGO4	9606.ENSP00000362300	9606.ENSP00000362306	0	0	0.049	0.982	0.102	0	0.720	0.975	0.993
AGO2	AGO4	9606.ENSP00000220592	9606.ENSP00000362306	0	0	0.050	0.980	0	0.310	0.720	0.947	0.988
AGO2	AGO3	9606.ENSP00000220592	9606.ENSP00000362287	0	0	0.050	0.980	0.060	0.837	0.720	0.955	0.997
AGO3	AGO4	9606.ENSP00000362287	9606.ENSP00000362306	0	0	0.050	0.981	0.059	0.627	0.720	0.693	0.966
AGPAT1	AGPAT5	9606.ENSP00000378877	9606.ENSP00000285518	0	0	0	0	0	0	0.900	0.667	0.965
AGPAT1	AGPAT3	9606.ENSP00000378877	9606.ENSP00000291572	0	0	0	0	0.059	0	0.900	0.802	0.979
AGPAT1	AGPAT4	9606.ENSP00000378877	9606.ENSP00000314036	0	0	0	0	0	0	0.900	0.751	0.974
AGPAT1	AGPAT2	9606.ENSP00000378877	9606.ENSP00000360761	0	0	0.077	0.926	0.048	0	0.900	0.108	0.911
AGPAT2	AGPAT5	9606.ENSP00000360761	9606.ENSP00000285518	0	0	0	0	0	0	0.900	0.641	0.962
AGPAT2	AGPAT3	9606.ENSP00000360761	9606.ENSP00000291572	0	0	0	0	0.055	0	0.900	0.717	0.970
AGPAT2	AGPAT4	9606.ENSP00000360761	9606.ENSP00000314036	0	0	0	0	0	0	0.900	0.666	0.965
AGPAT3	AGPAT5	9606.ENSP00000291572	9606.ENSP00000285518	0	0	0	0.634	0.049	0	0.900	0.316	0.929
AGPAT3	AGPAT4	9606.ENSP00000291572	9606.ENSP00000314036	0	0	0.057	0.966	0	0	0.900	0.388	0.937
AGPAT4	AGPAT5	9606.ENSP00000314036	9606.ENSP00000285518	0	0	0	0.649	0	0	0.900	0.284	0.925
AGT	AGTRAP	9606.ENSP00000355627	9606.ENSP00000319713	0	0	0	0	0	0	0	0.850	0.850
AGT	AGTR2	9606.ENSP00000355627	9606.ENSP00000360973	0	0	0	0	0	0.994	0.900	0.999	0.999
AGT	AGTR1	9606.ENSP00000355627	9606.ENSP00000398832	0	0	0	0	0.060	0.994	0.900	0.999	0.999
AGTR1	AGTRAP	9606.ENSP00000398832	9606.ENSP00000319713	0	0	0	0	0	0.345	0	0.974	0.982
AGTR1	AGTR2	9606.ENSP00000398832	9606.ENSP00000360973	0	0	0	0.835	0.042	0	0.900	0.835	0.982
AGXT	AGXT2	9606.ENSP00000302620	9606.ENSP00000231420	0.111	0	0	0	0.375	0.109	0.900	0.953	0.997
AHCY	AHCYL2	9606.ENSP00000217426	9606.ENSP00000315931	0	0	0.068	0.944	0.042	0.208	0.900	0.063	0.921
AHCY	AHCYL1	9606.ENSP00000217426	9606.ENSP00000358814	0	0	0.068	0.945	0.060	0.457	0.900	0.431	0.968
AHCYL1	AHCYL2	9606.ENSP00000358814	9606.ENSP00000315931	0	0	0.048	0.984	0.060	0.651	0.900	0.049	0.964
AHNAK	AHNAK2	9606.ENSP00000367263	9606.ENSP00000353114	0	0	0.173	0.658	0.124	0	0.900	0.322	0.944
